audit_section,year,grade,item,value,source_note
by_year,2024,,schools_with_grade_rows,174,Schools excluding the aggregate Alls row and excluding null grade cells.
by_year,2024,Alls,total_students_source_all_schools,47162,"Taken from Hagstofa Skóli=Alls, Bekkur=Alls."
by_year,2024,10. bekkur,total_10th_grade_students_source_all_schools,5232,"Taken from Hagstofa Skóli=Alls, Bekkur=10. bekkur."
by_grade,,1. bekkur,rows_extracted,4073,
by_grade,,2. bekkur,rows_extracted,4083,
by_grade,,3. bekkur,rows_extracted,4083,
by_grade,,4. bekkur,rows_extracted,4084,
by_grade,,5. bekkur,rows_extracted,4027,
by_grade,,6. bekkur,rows_extracted,4028,
by_grade,,7. bekkur,rows_extracted,4016,
by_grade,,8. bekkur,rows_extracted,3892,
by_grade,,9. bekkur,rows_extracted,3875,
by_grade,,10. bekkur,rows_extracted,3862,
