source_school_name,normalized_school_name,possible_match_1,possible_match_1_sveitarfelag,possible_match_1_score,possible_match_1_recent_10th_grade_count,possible_match_2,possible_match_2_sveitarfelag,possible_match_2_score,possible_match_2_recent_10th_grade_count,althingi_graduate_count,size_evidence_note,in_althingi_graduates,in_althingi_framhaldsskoli_grunnskoli,in_althingi_grunnskoli_grades,in_hagstofa_student_counts,in_hagstofa_10th_grade_counts,notes
Grunnskóli Mjóafjarðar,grunnskoli mjoafjardar,Grunnskóli Hornafjarðar,Sveitarfélagið Hornafjörður,0.889,19,Grunnskóli Borgarfjarðar,Borgarbyggð,0.870,8,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Grunnskóli Önundarfjarðar,grunnskoli onundarfjardar,Grunnskóli Grundarfjarðar,Grundarfjarðarbær,0.920,9,Grunnskóli Hornafjarðar,Sveitarfélagið Hornafjörður,0.875,19,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Grunnskóli Raufarhafnar,grunnskoli raufarhafnar,Grunnskóli Hornafjarðar,Sveitarfélagið Hornafjörður,0.783,19,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Grunnskóli Siglufjarðar,grunnskoli siglufjardar,Grunnskóli Eskifjarðar,Fjarðabyggð,0.889,,Grunnskóli Grundarfjarðar,Grundarfjarðarbær,0.833,9,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Grunnskólinn á Bakkafirði,grunnskolinn a bakkafirdi,Grunnskólinn á Ísafirði,Ísafjarðarbær,0.875,33,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Grunnskólinn á Blönduósi/Blönduskóli,grunnskolinn a blonduosi blonduskoli,,,,,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Grunnskólinn á Borðeyri,grunnskolinn a bordeyri,Grunnskólinn á Suðureyri,Ísafjarðarbær,0.851,7,Grunnskólinn Borgarnesi,Borgarbyggð,0.800,37,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Grunnskólinn á Hellissandi,grunnskolinn a hellissandi,Grunnskólinn á Hellu,Rangárþing ytra,0.826,11,Grunnskólinn á Laugalandi,Rangárþing ytra,0.824,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Grunnskólinn á Laugarvatni,grunnskolinn a laugarvatni,Grunnskólinn á Laugalandi,Rangárþing ytra,0.902,,Grunnskólinn í Bolungarvík,Bolungarvík,0.818,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
Grunnskólinn á Stöðvarfirði,grunnskolinn a stodvarfirdi,Grunnskólinn á Ísafirði,Ísafjarðarbær,0.880,33,,,,,,,false,false,false,true,true,"No exact, rule, municipality, or high-confidence fuzzy match accepted. Reference-only Hagstofa row; not needed for current analysis."
