year,svnr,sveitarfelag_source,sveitarfelag_harmonized,sveitarfelag_harmonization_status,sveitarfelag_harmonization_note,grunnskoli,grade_span,school_size_group,student_count,tekjur,laun_og_launtengd_gjold,annar_kostnadur_samtals,annar_kostnadur_an_innri_leigu_og_skolaakstur,innri_husaleiga_eignasjodur,skolaakstur,kostnadur_brutto,kostnadur_netto
2024,2000,Reykjanesbær,Reykjanesbær,unchanged,Already current for project joins.,Myllubakkaskóli,1-10,301 - 400,353,-16005318,740844988,199072959,145839339,53233620,,939917947,923912629
2024,2000,Reykjanesbær,Reykjanesbær,unchanged,Already current for project joins.,Njarðvíkurskóli,1-10,401 - 500,462,-20998278,1009375181,223135033,147481561,75653472,,1232510214,1211511936
2024,2000,Reykjanesbær,Reykjanesbær,unchanged,Already current for project joins.,Stapaskóli,1-9,401 - 500,407,-77780970,881648458,277763436,172181328,105582108,,1159411894,1081630924
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Austurbæjarskóli,1-10,301 - 400,342,-35286612,749024421,356371111,94023645,262347466,,1105395532,1070108920
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Borgarskóli,1-7,201 - 300,211,-15842401,448365096,258642847,258642847,,,707007943,691165542
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Breiðagerðisskóli,1-7,301 - 400,371,-35074834,625718173,328958959,95413648,233545311,,954677132,919602298
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Breiðholtsskóli,1-10,401 - 500,413,-27876731,844951181,399133874,120958060,278175814,,1244085055,1216208324
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Dalskóli,1-10,501 - 600,504,-20342449,543510783,568945671,123152793,445792878,,1112456454,1092114005
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Engjaskóli,1-7,201 - 300,221,-21873080,464069085,269571000,269571000,,,733640085,711767005
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,"Fellaskóli, Rvík",1-10,301 - 400,358,-39870503,911578081,377698385,120429426,257268959,,1289276466,1249405963
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Foldaskóli,1-10,401 - 500,463,-32771551,905844179,397738243,125972552,271765691,,1303582422,1270810871
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Fossvogsskóli,1-7,301 - 400,348,-19922796,583948400,340097086,124743232,215353854,,924045486,904122690
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Grandaskóli,1-7,301 - 400,316,-23520241,578572289,275202063,92288606,182913457,,853774352,830254111
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Hagaskóli,8-10,601 >,624,-36549014,835083852,397368839,149958242,247410597,,1232452691,1195903677
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Hamraskóli,1-7,201 - 300,223,-40997986,507982112,269056502,83800724,185255778,,777038614,736040628
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Hlíðaskóli,1-10,601 >,634,-78132616,1154438550,495119417,200121892,294997525,,1649557967,1571425351
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Hvassaleitisskóli,1-7,201 - 300,202,-73472464,530509538,264105542,83324269,180781273,,794615080,721142616
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Háteigsskóli,1-10,501 - 600,501,-35895467,800031770,297114201,118798098,178316103,,1097145971,1061250504
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Hólabrekkuskóli,1-10,501 - 600,511,-33073893,830265099,415088928,172616287,242472641,,1245354027,1212280134
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Húsaskóli,1-7,101 - 200,148,-14588408,325758356,234661669,56328465,178333204,,560420025,545831617
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Ingunnarskóli,1-10,301 - 400,309,-39912000,646113759,328245504,94835025,233410479,,974359263,934447263
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Klébergsskóli,1-10,101 - 200,120,-28848184,330226472,193337388,51112013,142225375,,523563860,494715676
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Langholtsskóli,1-10,601 >,682,-42877744,1121506825,511522758,156225780,355296978,,1633029583,1590151839
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Laugalækjarskóli,7-10,401 - 500,419,-18462456,611101072,334383053,125279988,209103065,,945484125,927021669
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Laugarnesskóli,1-6,501 - 600,539,-34514081,882705369,406189972,136121079,270068893,,1288895341,1254381260
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Melaskóli,1-7,501 - 600,502,-36840608,815866158,321369961,116839763,204530198,,1137236119,1100395511
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Norðlingaskóli,1-10,501 - 600,566,-46463575,925106910,605868103,180889145,424978958,,1530975013,1484511438
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Rimaskóli,1-10,501 - 600,509,-32776473,885462472,402310884,118816739,283494145,,1287773356,1254996883
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Réttarholtsskóli,8-10,401 - 500,455,-25848950,737657338,332799770,111826090,220973680,,1070457108,1044608158
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Seljaskóli,1-10,601 >,663,-147456886,1148472855,389075398,163008323,226067075,,1537548253,1390091367
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Selásskóli,1-7,101 - 200,182,-13141047,385260726,245029321,62480865,182548456,,630290047,617149000
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Sæmundarskóli,1-10,401 - 500,418,-27133996,715737539,449365428,107105806,342259622,,1165102967,1137968971
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Vesturbæjarskóli,1-7,201 - 300,272,-18406108,534312006,379773552,102572906,277200646,,914085558,895679450
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Vogaskóli,1-10,301 - 400,386,-44306185,784079700,390178479,107378181,282800298,,1174258179,1129951994
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Víkurskóli,8-10,201 - 300,236,-24304132,404680645,254054250,89188349,164865901,,658734895,634430763
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Álftamýrarskóli,1-10,401 - 500,415,-79506957,734257961,334564024,132378605,202185419,,1068821985,989315028
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Árbæjarskóli,1-10,601 >,736,-50303096,1067211406,493493412,174190033,319303379,,1560704818,1510401722
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Ártúnsskóli,1-7,101 - 200,154,-10370523,211927348,110880971,41451293,69429678,,322808319,312437796
2024,0000,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,Ölduselsskóli,1-10,501 - 600,520,-30299218,827627669,445614377,139932971,305681406,,1273242046,1242942828
