source_school_name,canonical_school_name,sveitarfelag_harmonized,sveitarfelag_source,mapping_priority,match_status,match_confidence,match_source,graduate_count,average_grunnskoli_icelandic_grade,average_grunnskoli_math_grade,framhaldsskoli_grunnskoli_row_count,framhaldsskoli_grunnskoli_student_count,has_graduates_table_row,has_grades_by_grunnskoli_row,has_framhaldsskoli_grunnskoli_rows,is_excluded_group_or_aggregate,notes,source_url,source_note
Eskifjarðarskóli,Grunnskóli Eskifjarðar,Fjarðabyggð,Fjarðabyggð,analysis_required,matched_manual,1.000,data/manual/manual_school_crosswalk.csv,2,,,0,,true,false,false,false,Same school/name variant.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
"Fellaskóli, Fellabæ","Fellaskóli, Fellabæ",Múlaþing,Fljótsdalshérað,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,5,3.2,2.9,0,,true,true,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
"Fellaskóli, Norðurfelli",,Reykjavíkurborg,Reykjavíkurborg,analysis_required,matched_municipality_rule_canonical_uncertain,,municipality_location_hint,8,2.8,3.0,0,,true,true,false,false,Sveitarfelag assigned from explicit location signal in source name; canonical school remains uncertain.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Flóaskóli,Flóaskóli,Flóahreppur,Flóahreppur,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,5,2.9,3.7,0,,true,true,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Flúðaskóli,Flúðaskóli,Hrunamannahreppur,Hrunamannahreppur,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,13,2.8,3.1,1,7,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Foldaskóli,Foldaskóli,Reykjavíkurborg,Reykjavíkurborg,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,47,3.6,3.3,4,32,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Framsýn menntun ehf.,NÚ / Framsýn menntun,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,analysis_required,matched_manual,1.000,data/manual/manual_school_crosswalk.csv,2,,,0,,true,false,false,false,Same entity as NÚ - framsýn menntun.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Færri en 5 nemendur,,,,excluded_group_or_aggregate,excluded_group_or_aggregate,1.000,rule,,3.2,3.1,30,1080,false,true,true,true,Grouped or aggregate source row; no sveitarfelag assigned.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Garðaskóli,Garðaskóli,Garðabær,Garðabær,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,142,3.2,3.2,6,122,true,true,true,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
Gerðaskóli,Gerðaskóli,Suðurnesjabær,Sveitarfélagið Garður,analysis_required,matched_exact,1.000,samband_grunnskolar_excel,6,2.9,3.3,0,,true,true,false,false,Exact normalized match.,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Alþingi PDF candidate school-level output joined to the Phase 4 school crosswalk. Rows are extraction candidates; do not treat graduate counts as true graduation rates.
