framhaldsskoli,grunnskoli,average_grunnskoli_icelandic_grade,average_grunnskoli_math_grade,average_framhaldsskoli_graduation_grade,number_of_students,is_fewer_than_5_group,source_url,source_note,page,manual_review
Verzlunarskóli Íslands,Hörðuvallaskóli,3.9,3.9,7.9,12,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,11,
Verzlunarskóli Íslands,Ingunnarskóli,3.7,4.0,8.6,6,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,11,
Verzlunarskóli Íslands,Kársnesskóli,3.9,3.8,7.9,10,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,11,
Verzlunarskóli Íslands,Langholtsskóli,3.8,4.0,8.0,6,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,11,
Verzlunarskóli Íslands,Laugalækjarskóli,3.8,3.8,8.0,8,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,11,
Verzlunarskóli Íslands,Lindaskóli,3.9,3.9,8.5,7,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,11,
Verzlunarskóli Íslands,Lágafellsskóli,3.8,3.8,7.4,6,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,11,
Verzlunarskóli Íslands,Norðlingaskóli,3.8,3.9,7.6,13,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,11,
Verzlunarskóli Íslands,Réttarholtsskóli,3.4,3.8,7.9,19,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,11,
Verzlunarskóli Íslands,Salaskóli,3.8,4.0,7.9,10,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,11,
Verzlunarskóli Íslands,Seljaskóli,4.0,3.8,7.4,6,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,11,
Verzlunarskóli Íslands,Snælandsskóli,3.9,3.9,8.2,8,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,11,
Verzlunarskóli Íslands,Varmárskóli,3.8,3.8,8.3,6,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,11,
Verzlunarskóli Íslands,Vatnsendaskóli,3.8,3.9,7.7,5,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,11,
Verzlunarskóli Íslands,Álfhólsskóli,3.9,3.8,8.3,5,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,11,
Verzlunarskóli Íslands,Álftanesskóli,3.9,4.0,8.3,8,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,11,
Verzlunarskóli Íslands,Árbæjarskóli,3.8,3.9,7.7,18,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,11,
Verzlunarskóli Íslands,Áslandsskóli,3.8,4.0,7.4,8,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,11,
Verzlunarskóli Íslands,Ölduselsskóli,3.8,3.9,7.7,6,false,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Parsed from PDF table; candidate extraction for audit.,11,
Verzlunarskóli Íslands,Færri en 5 nemendur,3.9,3.9,7.8,57,true,https://www.althingi.is/altext/pdf/157/s/1182.pdf,Færri en 5 nemendur rows preserve the source suppression/grouping label.,11,
