source_school_name,normalized_school_name,mapping_priority,canonical_school_name,sveitarfelag,sveitarfelag_source,sveitarfelag_harmonized,sveitarfelag_harmonization_status,sveitarfelag_harmonization_note,in_althingi_graduates,in_althingi_framhaldsskoli_grunnskoli,in_althingi_grunnskoli_grades,in_hagstofa_student_counts,in_hagstofa_10th_grade_counts,match_status,match_confidence,match_source,althingi_graduate_count,size_evidence_note,notes
Barnaskólinn á Eyrarbakka og Stokkseyri,barnaskolinn a eyrarbakka og stokkseyri,analysis_required,Barnaskólinn á Eyrarbakka og Stokkseyri,Sveitarfélagið Árborg,Sveitarfélagið Árborg,Sveitarfélagið Árborg,unchanged,Already current for project joins.,true,false,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,6,,Exact normalized match.
Bíldudalsskóli,bildudalsskoli,analysis_required,Bíldudalsskóli,Vesturbyggð,Vesturbyggð,Vesturbyggð,unchanged,Already current for project joins.,true,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,1,,Exact normalized match.
Bláskógaskóli Laugarvatni,blaskogaskoli laugarvatni,analysis_required,Bláskógaskóli - Laugarvatni,Bláskógabyggð,Bláskógabyggð,Bláskógabyggð,unchanged,Already current for project joins.,true,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,4,,Exact normalized match.
Bláskógaskóli Reykholti,blaskogaskoli reykholti,analysis_required,Reykholtsskóli / Bláskógaskóli Reykholti,Bláskógabyggð,Bláskógabyggð,Bláskógabyggð,unchanged,Already current for project joins.,true,false,false,false,false,matched_manual,1.000,data/manual/manual_school_crosswalk.csv,4,,Reykholt location of Bláskógaskóli / current Reykholtsskóli naming.
Blönduskóli,blonduskoli,analysis_required,Blönduskóli / Húnaskóli,Húnabyggð,Húnabyggð,Húnabyggð,unchanged,Already current for project joins.,true,false,true,false,false,matched_manual,1.000,data/manual/manual_school_crosswalk.csv,8,,Current municipality harmonized to Húnabyggð.
Borgarhólsskóli,borgarholsskoli,analysis_required,Borgarhólsskóli,Norðurþing,Norðurþing,Norðurþing,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,22,,Exact normalized match.
Borgaskóli,borgaskoli,reference_only,Borgaskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Brautarholts- og Gnúpverjaskóli,brautarholts og gnupverjaskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Brautarholtsskóli,brautarholtsskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.848,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Breiðagerðisskóli,breidagerdisskoli,reference_only,Breiðagerðisskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Breiðdals- og Stöðvarfjarðarskóli,breiddals og stodvarfjardarskoli,reference_only,Breiðdals- og Stöðvarfjarðarskóli,Fjarðabyggð,Fjarðabyggð,Fjarðabyggð,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Breiðholtsskóli,breidholtsskoli,analysis_required,Breiðholtsskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,18,,Exact normalized match.
Brekkubæjarskóli,brekkubaejarskoli,analysis_required,Brekkubæjarskóli,Akraneskaupstaður,Akraneskaupstaður,Akraneskaupstaður,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,17,,Exact normalized match.
Brekkuskóli,brekkuskoli,analysis_required,Brekkuskóli,Akureyrarkaupstaður,Akureyrarkaupstaður,Akureyrarbær,harmonized,Current official municipality name.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,37,,Exact normalized match.
