source_school_name,normalized_school_name,mapping_priority,canonical_school_name,sveitarfelag,sveitarfelag_source,sveitarfelag_harmonized,sveitarfelag_harmonization_status,sveitarfelag_harmonization_note,in_althingi_graduates,in_althingi_framhaldsskoli_grunnskoli,in_althingi_grunnskoli_grades,in_hagstofa_student_counts,in_hagstofa_10th_grade_counts,match_status,match_confidence,match_source,althingi_graduate_count,size_evidence_note,notes
Grunnskólinn á Ísafirði,grunnskolinn a isafirdi,analysis_required,Grunnskólinn á Ísafirði,Ísafjarðarbær,Ísafjarðarbær,Ísafjarðarbær,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,26,,Exact normalized match.
Grunnskólinn á Laugarvatni,grunnskolinn a laugarvatni,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.902,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Grunnskólinn á Stöðvarfirði,grunnskolinn a stodvarfirdi,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.880,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Grunnskólinn á Suðureyri,grunnskolinn a sudureyri,analysis_required,Grunnskólinn á Suðureyri,Ísafjarðarbær,Ísafjarðarbær,Ísafjarðarbær,unchanged,Already current for project joins.,true,false,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,5,,Exact normalized match.
Grunnskólinn á Þingeyri,grunnskolinn a thingeyri,analysis_required,Grunnskólinn Þingeyri,Ísafjarðarbær,Ísafjarðarbær,Ísafjarðarbær,unchanged,Already current for project joins.,true,false,false,false,false,matched_rule,1.000,samband_grunnskolar_excel_alias,2,,"Matched by conservative alias rule: slash, parenthetical, or Grunnskólinn/Grunnskóli variant."
Grunnskólinn á Þórshöfn,grunnskolinn a thorshofn,analysis_required,Grunnskólinn á Þórshöfn,Langanesbyggð,Langanesbyggð,Langanesbyggð,unchanged,Already current for project joins.,true,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,3,,Exact normalized match.
Grunnskólinn að Hólum,grunnskolinn ad holum,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.878,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Grunnskólinn austan Vatna,grunnskolinn austan vatna,analysis_required,Grunnskólinn austan Vatna,Sveitarfélagið Skagafjörður,Sveitarfélagið Skagafjörður,Sveitarfélagið Skagafjörður,unchanged,Already current for project joins.,true,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,4,,Exact normalized match.
Grunnskólinn Hellu,grunnskolinn hellu,analysis_required,Grunnskólinn á Hellu,Rangárþing ytra,Rangárþing ytra,Rangárþing ytra,unchanged,Already current for project joins.,true,false,true,true,true,matched_rule,1.000,samband_grunnskolar_excel_alias,11,,"Matched by conservative alias rule: slash, parenthetical, or Grunnskólinn/Grunnskóli variant."
Grunnskólinn Hofsósi,grunnskolinn hofsosi,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.811,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Grunnskólinn í Austur-Landeyjum,grunnskolinn i austur landeyjum,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Grunnskólinn í Borgarnesi,grunnskolinn i borgarnesi,analysis_required,Grunnskólinn Borgarnesi,Borgarbyggð,Borgarbyggð,Borgarbyggð,unchanged,Already current for project joins.,true,true,true,true,true,matched_rule,1.000,samband_grunnskolar_excel_alias,17,,"Matched by conservative alias rule: slash, parenthetical, or Grunnskólinn/Grunnskóli variant."
Grunnskólinn í Breiðdalshreppi,grunnskolinn i breiddalshreppi,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Grunnskólinn í Búðardal,grunnskolinn i budardal,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.783,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Grunnskólinn í Grímsey/Grímseyjarskóli,grunnskolinn i grimsey grimseyjarskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Grunnskólinn í Hofgarði,grunnskolinn i hofgardi,reference_only,Grunnskólinn í Hofgarði,Sveitarfélagið Hornafjörður,Sveitarfélagið Hornafjörður,Sveitarfélagið Hornafjörður,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Grunnskólinn í Hveragerði,grunnskolinn i hveragerdi,analysis_required,Grunnskólinn í Hveragerði,Hveragerðisbær,Hveragerðisbær,Hveragerðisbær,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,17,,Exact normalized match.
Grunnskólinn í Ólafsfirði,grunnskolinn i olafsfirdi,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.850,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Grunnskólinn í Ólafsvík,grunnskolinn i olafsvik,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.895,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Grunnskólinn í Sandgerði,grunnskolinn i sandgerdi,analysis_required,Grunnskólinn í Sandgerði,Sandgerðisbær,Sandgerðisbær,Suðurnesjabær,harmonized,Former municipality; now Suðurnesjabær.,true,false,true,false,false,matched_exact,1.000,samband_grunnskolar_excel,6,,Exact normalized match.
Grunnskólinn í Stykkishólmi,grunnskolinn i stykkisholmi,analysis_required,Grunnskólinn Stykkishólmi,Stykkishólmsbær,Stykkishólmsbær,Stykkishólmsbær,unchanged,Already current for project joins.,true,false,true,true,true,matched_rule,1.000,samband_grunnskolar_excel_alias,8,,"Matched by conservative alias rule: slash, parenthetical, or Grunnskólinn/Grunnskóli variant."
Grunnskólinn í Svalbarðshreppi/Svalbarðsskóli,grunnskolinn i svalbardshreppi svalbardsskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Grunnskólinn í Þorlákshöfn,grunnskolinn i thorlakshofn,analysis_required,Grunnskólinn í Þorlákshöfn,Sveitarfélagið Ölfus,Sveitarfélagið Ölfus,Sveitarfélagið Ölfus,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,23,,Exact normalized match.
Grunnskólinn Ljósaborg,grunnskolinn ljosaborg,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Grunnskólinn Þingeyri,grunnskolinn thingeyri,reference_only,Grunnskólinn Þingeyri,Ísafjarðarbær,Ísafjarðarbær,Ísafjarðarbær,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Grunnskólinn Tjarnarlundi,grunnskolinn tjarnarlundi,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Háaleitisskóli,haaleitisskoli,reference_only,Háaleitisskóli,Reykjanesbær,Reykjanesbær,Reykjanesbær,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Háaleitisskóli - Álftamýri,haaleitisskoli alftamyri,analysis_required,,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,true,true,true,false,false,matched_municipality_rule_canonical_uncertain,,municipality_location_hint,10,,Sveitarfelag assigned from explicit location signal in source name; canonical school remains uncertain.
Háaleitisskóli - Reykjanesbæ,haaleitisskoli reykjanesbae,analysis_required,,Reykjanesbær,Reykjanesbær,Reykjanesbær,unchanged,Already current for project joins.,true,true,true,false,false,matched_municipality_rule_canonical_uncertain,,municipality_location_hint,8,,Sveitarfelag assigned from explicit location signal in source name; canonical school remains uncertain.
Háaleitisskóli (Reykjanesbæ),haaleitisskoli reykjanesbae,reference_only,Háaleitisskóli,Reykjanesbær,Reykjanesbær,Reykjanesbær,unchanged,Already current for project joins.,false,false,false,true,true,matched_rule,1.000,samband_grunnskolar_excel_alias,,,"Matched by conservative alias rule: slash, parenthetical, or Grunnskólinn/Grunnskóli variant."
Hafnarskóli,hafnarskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.857,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Hafralækjarskóli,hafralaekjarskoli,analysis_required,Hafralækjarskóli / Þingeyjarskóli,Þingeyjarsveit,Þingeyjarsveit,Þingeyjarsveit,unchanged,Already current for project joins.,true,true,true,true,true,matched_manual,1.000,data/manual/manual_school_crosswalk.csv,7,,Historical/renamed-school case; current municipality harmonized to Þingeyjarsveit.
Hagaskóli,hagaskoli,analysis_required,Hagaskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,148,,Exact normalized match.
Hallormsstaðaskóli,hallormsstadaskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Hamarsskóli Vestmannaeyjum,hamarsskoli vestmannaeyjum,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.800,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Hamraskóli,hamraskoli,reference_only,Hamraskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Háteigsskóli,hateigsskoli,analysis_required,Háteigsskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,32,,Exact normalized match.
Heiðarskóli - Hvalfjarðarsveit,heidarskoli hvalfjardarsveit,analysis_required,,Hvalfjarðarsveit,Hvalfjarðarsveit,Hvalfjarðarsveit,unchanged,Already current for project joins.,true,false,false,false,false,matched_municipality_rule_canonical_uncertain,,municipality_location_hint,4,,Sveitarfelag assigned from explicit location signal in source name; canonical school remains uncertain.
Heiðarskóli (Hvalfjarðarsveit),heidarskoli hvalfjardarsveit,reference_only,Heiðarskóli,Reykjanesbær,Reykjanesbær,Reykjanesbær,unchanged,Already current for project joins.,false,false,false,true,true,matched_rule,1.000,samband_grunnskolar_excel_alias,,,"Matched by conservative alias rule: slash, parenthetical, or Grunnskólinn/Grunnskóli variant."
Heiðarskóli - Reykjanesbæ,heidarskoli reykjanesbae,analysis_required,,Reykjanesbær,Reykjanesbær,Reykjanesbær,unchanged,Already current for project joins.,true,true,true,false,false,matched_municipality_rule_canonical_uncertain,,municipality_location_hint,31,,Sveitarfelag assigned from explicit location signal in source name; canonical school remains uncertain.
Heiðarskóli (Reykjanesbæ),heidarskoli reykjanesbae,reference_only,Heiðarskóli,Reykjanesbær,Reykjanesbær,Reykjanesbær,unchanged,Already current for project joins.,false,false,false,true,true,matched_rule,1.000,samband_grunnskolar_excel_alias,,,"Matched by conservative alias rule: slash, parenthetical, or Grunnskólinn/Grunnskóli variant."
Heild,heild,excluded_group_or_aggregate,,,,,,,false,false,true,false,false,excluded_group_or_aggregate,1.000,rule,,,Grouped or aggregate source row; no sveitarfelag assigned.
Helgafellsskóli,helgafellsskoli,reference_only,Helgafellsskóli,Mosfellsbær,Mosfellsbær,Mosfellsbær,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Heppuskóli,heppuskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Hjallaskóli,hjallaskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.857,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Hlíðarhúsaskóli,hlidarhusaskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.846,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Hlíðarskóli,hlidarskoli,reference_only,Hlíðarskóli,Akureyrarkaupstaður,Akureyrarkaupstaður,Akureyrarbær,harmonized,Current official municipality name.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Hlíðarskóli Akureyri,hlidarskoli akureyri,analysis_required,,Akureyrarkaupstaður,Akureyrarkaupstaður,Akureyrarbær,harmonized,Current official municipality name.,true,false,false,false,false,matched_municipality_rule_canonical_uncertain,,municipality_location_hint,1,,Sveitarfelag assigned from explicit location signal in source name; canonical school remains uncertain.
Hlíðaskóli,hlidaskoli,analysis_required,Hlíðaskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,35,,Exact normalized match.
Höfðaskóli,hofdaskoli,analysis_required,Höfðaskóli,Sveitarfélagið Skagaströnd,Sveitarfélagið Skagaströnd,Sveitarfélagið Skagaströnd,unchanged,Already current for project joins.,true,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,3,,Exact normalized match.
Hofsstaðaskóli,hofsstadaskoli,reference_only,Hofstaðaskóli,Garðabær,Garðabær,Garðabær,unchanged,Already current for project joins.,false,false,false,true,true,matched_fuzzy_high_confidence,0.963,samband_grunnskolar_excel,,,High-confidence fuzzy normalized match; review optional.
Hólabrekkuskóli,holabrekkuskoli,analysis_required,Hólabrekkuskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,26,,Exact normalized match.
Holtaskóli,holtaskoli,analysis_required,Holtaskóli,Reykjanesbær,Reykjanesbær,Reykjanesbær,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,19,,Exact normalized match.
Hörðuvallaskóli,horduvallaskoli,analysis_required,Hörðuvallaskóli,Kópavogsbær,Kópavogsbær,Kópavogsbær,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,59,,Exact normalized match.
Hrafnagilsskóli,hrafnagilsskoli,analysis_required,Hrafnagilsskóli,Eyjafjarðarsveit,Eyjafjarðarsveit,Eyjafjarðarsveit,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,11,,Exact normalized match.
Hraunvallaskóli,hraunvallaskoli,analysis_required,Hraunvallaskóli,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,60,,Exact normalized match.
Hríseyjarskóli,hriseyjarskoli,analysis_required,Hríseyjarskóli,Akureyrarkaupstaður,Akureyrarkaupstaður,Akureyrarbær,harmonized,Current official municipality name.,true,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,1,,Exact normalized match.
Hrollaugsstaðaskóli,hrollaugsstadaskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Húnaskóli,hunaskoli,reference_only,Húnaskóli,Blönduósbær,Blönduósbær,Húnabyggð,harmonized,Former municipality; now Húnabyggð.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Húnavallaskóli,hunavallaskoli,analysis_required,Húnavallaskóli / Húnaskóli,Húnabyggð,Húnabyggð,Húnabyggð,unchanged,Already current for project joins.,true,false,false,true,true,matched_manual,1.000,data/manual/manual_school_crosswalk.csv,2,,Current municipality harmonized to Húnabyggð.
Húsabakkaskóli,husabakkaskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.783,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Húsaskóli,husaskoli,reference_only,Húsaskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Hvaleyrarskóli,hvaleyrarskoli,analysis_required,Hvaleyrarskóli,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,24,,Exact normalized match.
Hvassaleitisskóli,hvassaleitisskoli,reference_only,Hvassaleitisskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Hvolsskóli,hvolsskoli,analysis_required,Hvolsskóli,Rangárþing eystra,Rangárþing eystra,Rangárþing eystra,unchanged,Already current for project joins.,true,false,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,9,,Exact normalized match.
Ingunnarskóli,ingunnarskoli,analysis_required,Ingunnarskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,31,,Exact normalized match.
Kársnesskóli,karsnesskoli,analysis_required,Kársnesskóli,Kópavogsbær,Kópavogsbær,Kópavogsbær,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,39,,Exact normalized match.
Kelduskóli,kelduskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Kelduskóli - Vík,kelduskoli vik,analysis_required,Kelduskóli - Vík,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,true,false,true,false,false,matched_manual,1.000,data/manual/manual_school_crosswalk.csv,7,,Reykjavík school site.
Kerhólsskóli,kerholsskoli,analysis_required,Kerhólsskól,Grímsnes- og Grafningsher.,Grímsnes- og Grafningsher.,Grímsnes- og Grafningshreppur,harmonized,Samband school list abbreviation expanded to current municipality name.,true,false,false,true,true,matched_fuzzy_high_confidence,0.957,samband_grunnskolar_excel,1,,High-confidence fuzzy normalized match; review optional.
Kirkjubæjarskóli,kirkjubaejarskoli,analysis_required,Kirkjubæjarskóli,Skaftárhreppur,Skaftárhreppur,Skaftárhreppur,unchanged,Already current for project joins.,true,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,2,,Exact normalized match.
Klébergsskóli,klebergsskoli,analysis_required,Klébergsskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,true,false,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,8,,Exact normalized match.
Kleppjárnsreykjaskóli,kleppjarnsreykjaskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Klettaskóli,klettaskoli,reference_only,Klettaskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Kópaskersskóli,kopaskersskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Kópavogsskóli,kopavogsskoli,analysis_required,Kópavogsskóli,Kópavogsbær,Kópavogsbær,Kópavogsbær,unchanged,Already current for project joins.,true,false,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,20,,Exact normalized match.
Kóraskóli,koraskoli,reference_only,Kóraskóli,Kópavogsbær,Kópavogsbær,Kópavogsbær,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Korpuskóli,korpuskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.842,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Krikaskóli,krikaskoli,reference_only,Krikaskóli,Mosfellsbær,Mosfellsbær,Mosfellsbær,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Kvíslarskóli,kvislarskoli,reference_only,Kvíslarskóli,Mosfellsbær,Mosfellsbær,Mosfellsbær,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Lækjarskóli,laekjarskoli,analysis_required,Lækjarskóli,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,28,,Exact normalized match.
Lágafellsskóli,lagafellsskoli,analysis_required,Lágafellsskóli,Mosfellsbær,Mosfellsbær,Mosfellsbær,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,39,,Exact normalized match.
Landakotsskóli,landakotsskoli,analysis_required,Landakotsskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,true,false,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,9,,Exact normalized match.
Langholtsskóli,langholtsskoli,analysis_required,Langholtsskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,30,,Exact normalized match.
Laugalækjarskóli,laugalaekjarskoli,analysis_required,Laugalækjarskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,51,,Exact normalized match.
Laugalandsskóli í Holtum,laugalandsskoli i holtum,analysis_required,Grunnskólinn á Laugalandi / Laugalandsskóli,Rangárþing ytra,Rangárþing ytra,Rangárþing ytra,unchanged,Already current for project joins.,true,false,true,true,true,matched_manual,1.000,data/manual/manual_school_crosswalk.csv,6,,Same school/name variant.
Laugargerðisskóli,laugargerdisskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.839,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Laugarnesskóli,laugarnesskoli,reference_only,Laugarnesskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Lindaskóli,lindaskoli,analysis_required,Lindaskóli,Kópavogsbær,Kópavogsbær,Kópavogsbær,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,28,,Exact normalized match.
Litlulaugaskóli,litlulaugaskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Ljósafossskóli,ljosafossskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Lundarskóli,lundarskoli,analysis_required,Lundarskóli,Akureyrarkaupstaður,Akureyrarkaupstaður,Akureyrarbær,harmonized,Current official municipality name.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,32,,Exact normalized match.
Lýsuhólsskóli,lysuholsskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.800,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Meðferðarheimilið á Torfastöðum,medferdarheimilid a torfastodum,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Melaskóli,melaskoli,reference_only,Melaskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Myllubakkaskóli,myllubakkaskoli,analysis_required,Myllubakkaskóli,Reykjanesbær,Reykjanesbær,Reykjanesbær,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,14,,Exact normalized match.
Mýrarhúsaskóli,myrarhusaskoli,reference_only,Mýrarhúsaskóli,Seltjarnarneskaupstaður,Seltjarnarneskaupstaður,Seltjarnarnesbær,harmonized,Current official municipality name.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Naustaskóli,naustaskoli,analysis_required,Naustaskóli,Akureyrarkaupstaður,Akureyrarkaupstaður,Akureyrarbær,harmonized,Current official municipality name.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,22,,Exact normalized match.
Nesjaskóli,nesjaskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.889,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Nesskóli,nesskoli,analysis_required,Nesskóli,Fjarðabyggð,Fjarðabyggð,Fjarðabyggð,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,10,,Exact normalized match.
Njarðvíkurskóli,njardvikurskoli,analysis_required,Njarðvíkurskóli,Reykjanesbær,Reykjanesbær,Reykjanesbær,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,21,,Exact normalized match.
Norðlingaskóli,nordlingaskoli,analysis_required,Norðlingaskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,34,,Exact normalized match.
NÚ,nu,reference_only,NÚ,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
NÚ - framsýn menntun,nu framsyn menntun,analysis_required,NÚ / Framsýn menntun,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,unchanged,Already current for project joins.,true,false,true,false,false,matched_manual,1.000,data/manual/manual_school_crosswalk.csv,5,,Same entity as Framsýn menntun ehf.
Oddeyrarskóli,oddeyrarskoli,analysis_required,Oddeyrarskóli,Akureyrarkaupstaður,Akureyrarkaupstaður,Akureyrarbær,harmonized,Current official municipality name.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,11,,Exact normalized match.
Ölduselsskóli,olduselsskoli,analysis_required,Ölduselsskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,23,,Exact normalized match.
Öldutúnsskóli,oldutunsskoli,analysis_required,Öldutúnsskóli,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,Hafnarfjarðarkaupstaður,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,26,,Exact normalized match.
Öskjuhlíðarskóli,oskjuhlidarskoli,reference_only,,,,,,,false,false,false,true,true,needs_manual_review,0.815,,,,"No exact, rule, municipality, or high-confidence fuzzy match accepted."
Öxarfjarðarskóli,oxarfjardarskoli,reference_only,Öxarfjarðarskóli,Norðurþing,Norðurþing,Norðurþing,unchanged,Already current for project joins.,false,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,,,Exact normalized match.
Patreksskóli,patreksskoli,analysis_required,Patreksskóli,Vesturbyggð,Vesturbyggð,Vesturbyggð,unchanged,Already current for project joins.,true,false,false,true,true,matched_exact,1.000,samband_grunnskolar_excel,4,,Exact normalized match.
Réttarholtsskóli,rettarholtsskoli,analysis_required,Réttarholtsskóli,Reykjavíkurborg,Reykjavíkurborg,Reykjavíkurborg,unchanged,Already current for project joins.,true,true,true,true,true,matched_exact,1.000,samband_grunnskolar_excel,105,,Exact normalized match.
